"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","MAX","PRCP","TEMP","VISIB","WDSP"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-06","  80.6"," 0.00","  77.3","  4.1","  6.6"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-07","  87.8"," 0.12","  79.8","  4.2","  7.1"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-08","  89.6"," 0.00","  80.7","  4.5","  5.1"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-09","  88.5"," 0.12","  80.3","  4.2","  4.0"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-10","  89.6"," 0.00","  80.3","  4.2","  3.3"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-11","  91.4"," 0.04","  81.4","  4.5","  5.7"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-12","  88.7"," 0.43","  79.7","  3.4","  3.8"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-13","  91.0"," 0.91","  79.4","  3.8","  6.1"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-14","  87.1"," 1.26","  79.7","  3.7","  6.7"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-15","  86.0"," 0.16","  78.1","  4.2","  5.1"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-16","  87.8"," 0.12","  81.1","  4.2","  6.1"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-17","  86.0"," 0.08","  79.1","  4.1","  5.1"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-18","  87.8"," 0.00","  80.9","  4.8","  6.4"
